"BUILDING","ROOM","Course","Title","SECTION","First_Name","Last_Name","Monday","Tuesday","Wednesday","Thursday","Friday","Start_Time","Stop_Time"
"BGHALL","203","EN324","The Oral Tradition","01","Anita","Garner","M","","W","","","02:00 PM","03:15 PM"
"BGHALL","203","EN360","Literary Criticism","01","Matthew","Duques","","T","","R","","12:30 PM","01:45 PM"
"BGHALL","203","EN395","World Cinema","01","Kathryn","Wardell","","T","","R","","02:00 PM","03:15 PM"
"BGHALL","203","EN452","The American Novel","01","Larry","Adams","M","","W","","","03:30 PM","04:45 PM"
"BGHALL","203","EN454","The English Novel","01","Lisa","Minor","","T","","R","","03:30 PM","04:45 PM"
"BGHALL","203","EN552","The American Novel","01","Larry","Adams","M","","W","","","03:30 PM","04:45 PM"
"BGHALL","203","EN554","The English Novel","01","Lisa","Minor","","T","","R","","03:30 PM","04:45 PM"
"BGHALL","203","TH300","History of Film","01","Kathryn","Wardell","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","206","EN111","First-Year Composition I","02","Holly","Dunlap","M","","W","","F","09:00 AM","09:50 AM"
"BGHALL","206","HI101","World Civilization to 1500","02","Danny","Burton","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","206","HI101","World Civilization to 1500","01","Danny","Burton","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","206","HI102","World Civilization Since 1500","01","Jeffrey","Bibbee","M","","W","","F","08:00 AM","08:50 AM"
"BGHALL","206","HI201","United States History to 1877","03","Burt","Rieff","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","206","HI202","US History Since 1877","05","Matthew","Schoenbachler","M","","W","","F","02:00 PM","02:50 PM"
"BGHALL","206","HI202","US History Since 1877","04","Matthew","Schoenbachler","M","","W","","F","12:00 PM","12:50 PM"
"BGHALL","206","HI202","US History Since 1877","11","David","Schroeder","","T","","","","06:00 PM","08:45 PM"
"BGHALL","206","HI202H","Honors US History Since 1877","H01","Matthew","Schoenbachler","M","","W","","F","01:00 PM","01:50 PM"
"BGHALL","206","HI341","Medieval Europe II, 1100-1500","01","Danny","Burton","","T","","R","","02:00 PM","03:15 PM"
"BGHALL","206","HI612","Seminar US History Since 1877","01","Ansley","Quiros","","","","R","","06:00 PM","08:45 PM"
"BGHALL","206","HI622","Sem in World Hist Since 1815","01","Jeffrey","Bibbee","M","","","","","06:00 PM","08:45 PM"
"BGHALL","206","MA147","Elementary Statistics","02","Charles","Shull","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","206","RE221","Old Testament Introduction","01","Carl","Gebhardt","","T","","R","","12:30 PM","01:45 PM"
"BGHALL","206","RE490","Special Topics","02","Carl","Gebhardt","","T","","R","","08:00 AM","09:15 AM"
"BGHALL","207","EN112","First-Year Composition II","20","Tammy","Winner","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","207","EN112","First-Year Composition II","26","Tammy","Winner","","T","","R","","12:30 PM","01:45 PM"
"BGHALL","207","EN112","First-Year Composition II","11","Kathleen","Richards","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","207","EN112","First-Year Composition II","29","Alaina","Shockley","M","","W","","F","01:00 PM","01:50 PM"
"BGHALL","207","HI301W","History & Historical Research","01","Ulrich","Groetsch","M","","W","","","02:00 PM","03:15 PM"
"BGHALL","207","PS301W","Pol Sci Scope and Methods","01","Noe","Aguado","M","","W","","F","12:00 PM","12:50 PM"
"BGHALL","302","EN099","Basic English","04","Christa","Raney","","T","","R","","12:30 PM","01:45 PM"
"BGHALL","302","EN112","First-Year Composition II","03","Ruth","Reese","M","","W","","F","08:00 AM","08:50 AM"
"BGHALL","302","EN112","First-Year Composition II","01","Ruth","Reese","M","","W","","F","07:00 AM","07:50 AM"
"BGHALL","302","EN112","First-Year Composition II","10","Latasha","Howell","M","","W","","F","09:00 AM","09:50 AM"
"BGHALL","302","EN112","First-Year Composition II","28","Anissa","Graham","M","","W","","F","01:00 PM","01:50 PM"
"BGHALL","302","EN112","First-Year Composition II","15","Alaina","Shockley","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","302","EN112","First-Year Composition II","24","Brandi","Marks","M","","W","","F","12:00 PM","12:50 PM"
"BGHALL","302","EN122","First-Year Comp Honors II","H02","Dianne","Dodson","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","302","EN234","Honors Lit of the World II","H01","Alaina","Shockley","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","302","EN331","Contemporary Global Literature","01","Cynthia","Burkhead","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","302","EN442","Survey of Grammar","01","Kelly","Latchaw","M","","W","","","02:00 PM","03:15 PM"
"BGHALL","302","EN542","Survey of Grammar","01","Kelly","Latchaw","M","","W","","","02:00 PM","03:15 PM"
"BGHALL","303","EN111","First-Year Composition I","06","Kelly","Latchaw","M","","W","","F","12:00 PM","12:50 PM"
"BGHALL","303","EN112","First-Year Composition II","14","Latasha","Howell","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","303","EN112","First-Year Composition II","08","Joy","Laws","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","303","EN112","First-Year Composition II","09","Pamela","Kingsbury","M","","W","","F","09:00 AM","09:50 AM"
"BGHALL","303","EN112","First-Year Composition II","31","Amy","Melson","M","","W","","F","01:00 PM","01:50 PM"
"BGHALL","303","EN212","Survey of English Literature","07","Alaina","Shockley","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","303","EN221","Am Lit through Whitman","01","Matthew","Price","","T","","R","","12:30 PM","01:45 PM"
"BGHALL","303","EN222","Am Lit Whitman to Present","07","Latasha","Howell","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","306","EN122","First-Year Comp Honors II","H01","Dianne","Dodson","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","306","HI101","World Civilization to 1500","03","Danny","Burton","M","","W","","F","02:00 PM","02:50 PM"
"BGHALL","306","HI201","United States History to 1877","01","Kevin","Hall","M","","W","","F","12:00 PM","12:50 PM"
"BGHALL","306","HI201","United States History to 1877","04","Carolyn","Barske","","T","","R","","02:00 PM","03:15 PM"
"BGHALL","306","HI201","United States History to 1877","02","Kevin","Hall","M","","W","","F","01:00 PM","01:50 PM"
"BGHALL","306","HI202","US History Since 1877","10","Lynne","Rieff","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","306","HI202","US History Since 1877","03","Burt","Rieff","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","306","HI202","US History Since 1877","06","Lynne","Rieff","","T","","R","","08:00 AM","09:15 AM"
"BGHALL","306","HI202","US History Since 1877","08","Ansley","Quiros","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","306","HI453","Civil War and Reconstruction","01","Matthew","Schoenbachler","M","","","","","06:00 PM","08:45 PM"
"BGHALL","306","HI461","History of the South","01","Lynne","Rieff","M","","W","","F","09:00 AM","09:50 AM"
"BGHALL","306","HI490","Special Topics","02","Carolyn","Barske","","T","","","","05:00 PM","07:45 PM"
"BGHALL","306","HI553","Civil War and Reconstruction","01","Matthew","Schoenbachler","M","","","","","06:00 PM","08:45 PM"
"BGHALL","306","HI561","History of the South","01","Lynne","Rieff","M","","W","","F","09:00 AM","09:50 AM"
"BGHALL","306","HI670","Historic Preservation","01","Carolyn","Barske","","T","","","","05:00 PM","07:45 PM"
"BGHALL","307","EN111","First-Year Composition I","09","Holly","Dunlap","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","307","EN112","First-Year Composition II","30","Brandi","Marks","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","307","EN211","Survey of English Literature","02","Lisa","Minor","M","","W","","","02:00 PM","03:15 PM"
"BGHALL","307","EN222","Am Lit Whitman to Present","06","Vincent","Brewton","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","307","EN232","Literature of the World II","08","Nathan","Stanfill","M","","W","","F","08:00 AM","08:50 AM"
"BGHALL","307","EN232","Literature of the World II","01","Anita","Garner","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","307","MA112","Pre-Calculus Algebra","05","Miranda","Bowie","","","","R","","12:30 PM","01:20 PM"
"BGHALL","312","EN111","First-Year Composition I","04","Nancy","Bryant","M","","W","","F","12:00 PM","12:50 PM"
"BGHALL","312","EN111","First-Year Composition I","08","Katherine","Pace","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","312","EN111","First-Year Composition I","05","Kelly","Latchaw","","T","","R","","02:00 PM","03:15 PM"
"BGHALL","312","EN111","First-Year Composition I","07","Roy","Sanderson","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","312","EN112","First-Year Composition II","27","Kelly","Latchaw","","T","","R","","12:30 PM","01:45 PM"
"BGHALL","312","EN112","First-Year Composition II","16","Anissa","Graham","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","312","EN112","First-Year Composition II","04","Joy","Laws","","T","","R","","08:00 AM","09:15 AM"
"BGHALL","312","EN112","First-Year Composition II","02","Robert","Koch","M","","W","","F","08:00 AM","08:50 AM"
"BGHALL","312","EN232","Literature of the World II","04","Daryl","Brown","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","312","EN456W","Adv Creative Writing: Poetry","01","Daryl","Brown","M","","W","","","02:00 PM","03:15 PM"
"BGHALL","312","EN466","Social Linguistics","01","Kelly","Latchaw","M","","W","","F","01:00 PM","01:50 PM"
"BGHALL","312","EN556W","Adv Creative Writing: Poetry","01","Daryl","Brown","M","","W","","","02:00 PM","03:15 PM"
"BGHALL","312","EN566","Social Linguistics","01","Kelly","Latchaw","M","","W","","F","01:00 PM","01:50 PM"
"BGHALL","314","EN112","First-Year Composition II","21","Amy","Little","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","314","EN222","Am Lit Whitman to Present","03","Christa","Raney","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","314","HI101","World Civilization to 1500","04","Charles","Maples","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","314","HI101","World Civilization to 1500","05","Charles","Maples","","T","","R","","12:30 PM","01:45 PM"
"BGHALL","314","HI202","US History Since 1877","02","Ansley","Quiros","M","","W","","F","09:00 AM","09:50 AM"
"BGHALL","314","HI202","US History Since 1877","01","Ansley","Quiros","M","","W","","F","08:00 AM","08:50 AM"
"BGHALL","314","PHL201","Introduction to Philosophy","01","Matthew","Fitzsimmons","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","314","PHL303","Philosophy of Religion","01","Matthew","Fitzsimmons","","T","","R","","02:00 PM","03:15 PM"
"BGHALL","314","PS316","Mock Trials","01","Troy","Skipworth","M","","","","","06:00 PM","07:00 PM"
"BGHALL","314","RE303","Philosophy of Religion","01","Matthew","Fitzsimmons","","T","","R","","02:00 PM","03:15 PM"
"BGHALL","317","EN112","First-Year Composition II","19","Ruth","Reese","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","317","EN212","Survey of English Literature","04","Kathryn","Wardell","M","","W","","F","09:00 AM","09:50 AM"
"BGHALL","317","HI102","World Civilization Since 1500","05","George","Makowski","","T","","R","","12:30 PM","01:45 PM"
"BGHALL","317","HI102","World Civilization Since 1500","03","George","Makowski","","T","","R","","09:30 AM","10:45 AM"
"BGHALL","317","HI102","World Civilization Since 1500","02","Ulrich","Groetsch","","T","","R","","08:00 AM","09:15 AM"
"BGHALL","317","HI102","World Civilization Since 1500","06","Ulrich","Groetsch","","T","","R","","02:00 PM","03:15 PM"
"BGHALL","317","HI102","World Civilization Since 1500","04","Ulrich","Groetsch","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","317","HI102H","Honors World Civ Since 1500","H01","George","Makowski","M","","W","","F","12:00 PM","12:50 PM"
"BGHALL","317","HI433","History of the Balkans","01","George","Makowski","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","317","HI533","History of the Balkans","01","George","Makowski","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","317","MA113","Pre-calculus Trigonometry","02","Jayson","Jackson","M","","W","","F","08:00 AM","08:50 AM"
"BGHALL","317","PHL490","Special Topics","01","Matthew","Fitzsimmons","M","","","","","06:00 PM","08:45 PM"
"BGHALL","317","RE490","Special Topics","03","Matthew","Fitzsimmons","M","","","","","06:00 PM","08:45 PM"
"BGHALL","321","EN111","First-Year Composition I","03","Nancy","Bryant","M","","W","","F","11:00 AM","11:50 AM"
"BGHALL","321","EN222","Am Lit Whitman to Present","04","Christa","Raney","M","","W","","F","09:00 AM","09:50 AM"
"BGHALL","321","EN232","Literature of the World II","05","Anita","Garner","","T","","R","","11:00 AM","12:15 PM"
"BGHALL","321","EN232","Literature of the World II","03","Stephen","Melvin","M","","W","","F","10:00 AM","10:50 AM"
"BGHALL","321","EN303","Rest & 18th Cent Brit Lit","01","Cheryl","Price","","T","","R","","02:00 PM","03:15 PM"
"BGHALL","321","HI202","US History Since 1877","12","Royce","Helgemo","M","","W","","F","12:00 PM","12:50 PM"
"BGHALL","321","PHL205","Ethics","01","Matthew","Fitzsimmons","","T","","R","","09:30 AM","10:45 AM"
"COMBLD","116","COM215","Media Writing","01","Beth","Garfrerick","M","","W","","","10:00 AM","10:50 AM"
"COMBLD","116","COM220","Basic Reporting","01","Catherine","Wood","M","","W","","F","09:00 AM","09:50 AM"
"COMBLD","116","COM220","Basic Reporting","02","Scott","Morris","","T","","R","","11:00 AM","12:15 PM"
"COMBLD","116","COM317","Media Convergence","01","Patricia","Sanders","","T","","R","","12:30 PM","01:45 PM"
"COMBLD","116","COM390","Public Relations Writing","01","Beth","Garfrerick","M","","W","","","12:00 PM","01:15 PM"
"COMBLD","116","COM410","Layout and Design","01","Beth","Garfrerick","","T","","R","","09:30 AM","10:45 AM"
"COMBLD","116","COM442","Public Relations Campaigns","01","Beth","Garfrerick","M","","W","","","02:00 PM","03:15 PM"
"COMBLD","118","COM215","Media Writing","02","Janet","McMullen","M","","W","","","10:00 AM","10:50 AM"
"COMBLD","118","COM243","Aural-Visual Production","02","Jason","Pangilinan","","T","","R","","12:30 PM","01:45 PM"
"COMBLD","118","COM243","Aural-Visual Production","01","Jason","Pangilinan","M","","W","","","08:35 AM","09:50 AM"
"COMBLD","118","COM356","Advanced Reporting","01","James","Martin","M","","W","","","02:00 PM","03:15 PM"
"COMBLD","118","COM443","Advanced Production Techniques","01","Jason","Flynn","","T","","R","","11:00 AM","12:15 PM"
"COMBLD","124","COM201","Fundamentals of Speech","06","Laura","Hardin","","T","","R","","09:30 AM","10:45 AM"
"COMBLD","124","COM201","Fundamentals of Speech","01","Bill","Huddleston","M","","W","","F","09:00 AM","09:50 AM"
"COMBLD","124","COM201","Fundamentals of Speech","09","Laura","Hardin","","T","","R","","12:30 PM","01:45 PM"
"COMBLD","124","COM215","Media Writing","02","Janet","McMullen","","","","","F","10:00 AM","10:50 AM"
"COMBLD","124","COM215","Media Writing","01","Beth","Garfrerick","","","","","F","10:00 AM","10:50 AM"
"COMBLD","124","COM400W","Communication Law and Ethics","01","James","Martin","","T","","R","","11:00 AM","12:15 PM"
"COMBLD","124","COM420","Portfolio Preparation","01","Gregory","Pitts","","T","","","","02:00 PM","03:15 PM"
"COMBLD","124","COM420","Portfolio Preparation","02","Gregory","Pitts","","","W","","","02:00 PM","03:15 PM"
"COMBLD","124","COM500","Communication Law and Ethics","01","James","Martin","","T","","R","","11:00 AM","12:15 PM"
"COMBLD","126","COM256","Fund of Electronic Media","01","Gregory","Pitts","","T","","R","","11:00 AM","12:15 PM"
"COMBLD","126","COM293W","Screenwriting Fundamentals","02","Jason","Pangilinan","M","","W","","","12:00 PM","01:15 PM"
"COMBLD","126","COM306","Interpersonal Communication","01","Lisa","Darnell","M","","W","","F","09:00 AM","09:50 AM"
"COMBLD","126","COM374","Public Relations Cases","01","Elizabeth","McInerney","M","","W","","","02:00 PM","03:15 PM"
"COMBLD","126","COM441","Creative Audio Prod","01","Patricia","Sanders","","T","","R","","09:30 AM","10:45 AM"
"COMBLD","128","COM201","Fundamentals of Speech","10","Lisa","Darnell","","T","","R","","12:30 PM","01:45 PM"
"COMBLD","128","COM201","Fundamentals of Speech","07","Lisa","Darnell","","T","","R","","09:30 AM","10:45 AM"
"COMBLD","128","COM314","Com Theory & Public Interest","01","Janet","McMullen","M","","W","","","12:00 PM","01:15 PM"
"COMBLD","129","COM201","Fundamentals of Speech","05","Heather","Stancil","M","","","","","06:00 PM","08:45 PM"
"COMBLD","129","COM201","Fundamentals of Speech","H01","Laura","Hardin","M","","W","","","08:35 AM","09:50 AM"
"COMBLD","129","COM230","Foundations of Pub Relations","01","Lisa","Darnell","M","","W","","F","11:00 AM","11:50 AM"
"COMBLD","129","COM303W","Comm Research Methods","01","Mohamad","Elmasry","M","","W","","","02:00 PM","03:15 PM"
"COMBLD","129","COM314","Com Theory & Public Interest","02","Janet","McMullen","","T","","R","","12:30 PM","01:45 PM"
"COMBLD","129","COM340","Media Criticism","01","Janet","McMullen","","T","","R","","09:30 AM","10:45 AM"
"COMBLD","130","COM293W","Screenwriting Fundamentals","01","Jason","Pangilinan","","T","","R","","09:30 AM","10:45 AM"
"COMBLD","130","COM343","Production Projects","01","Jason","Flynn","M","","W","","F","11:00 AM","11:50 AM"
"COMBLD","130","COM393W","Short Screenplay Writing","01","Jason","Flynn","M","","W","","F","01:00 PM","01:50 PM"
"COMBLD","130","COM465","Global Media Systems","01","Mohamad","Elmasry","","T","","R","","02:00 PM","03:15 PM"
"COMBLD","130","COM470","Media Management and Diversity","01","Patricia","Sanders","M","","W","","F","09:00 AM","09:50 AM"
"COMBLD","130","COM565","Global Media Systems","01","Mohamad","Elmasry","","T","","R","","02:00 PM","03:15 PM"
"COMBLD","131","COM133","Cinema Appreciation","01","Jason","Flynn","M","","W","","F","10:00 AM","10:50 AM"
"COMBLD","131","COM205","Communication in a Global Age","02","James","Martin","M","","W","","F","11:00 AM","11:50 AM"
"COMBLD","131","COM205","Communication in a Global Age","01","James","Martin","M","","W","","F","09:00 AM","09:50 AM"
"COMBLD","131","COM205","Communication in a Global Age","03","Mohamad","Elmasry","","T","","R","","11:00 AM","12:15 PM"
"COMBLD","201","COM201","Fundamentals of Speech","03","Stephanie","Montgomery","M","","W","","F","10:00 AM","10:50 AM"
"COMBLD","201","COM201","Fundamentals of Speech","04","Laura","Hardin","M","","W","","","02:00 PM","03:15 PM"
"COMBLD","201","COM201","Fundamentals of Speech","02","Stephanie","Montgomery","M","","W","","F","09:00 AM","09:50 AM"
"COMBLD","201","COM201","Fundamentals of Speech","08","Stephanie","Montgomery","","T","","R","","11:00 AM","12:15 PM"
"COMBLD","201","COM402","Persuasion","01","Bill","Huddleston","M","","W","","F","11:00 AM","11:50 AM"
"COMBLD","201","COM440","Organizational Communication","01","Bill","Huddleston","","T","","R","","12:30 PM","01:45 PM"
"COMBLD","201","COM457","Storytelling","01","Bill","Huddleston","","T","","R","","09:30 AM","10:45 AM"
"COMBLD","201","COM502","Persuasion","01","Bill","Huddleston","M","","W","","F","11:00 AM","11:50 AM"
"COMBLD","201","COM580","Topics in Communication","02","Bill","Huddleston","","T","","R","","09:30 AM","10:45 AM"
"COMMON","208","CJ326","Prof Ethics and Legal Liabl","01","Suzanna","Taylor","M","","W","","","12:00 PM","01:15 PM"
"COMMON","208","CJ406","Forensic Investigation","01","Suzanna","Taylor","M","","W","","","01:30 PM","02:45 PM"
"COMMON","208","CJ406L","Forensic Invest Lab","02","Suzanna","Taylor","","","","","F","12:00 PM","01:50 PM"
"COMMON","208","CJ491","Special Topics","03","Wayne","Bergeron","","T","","R","","11:00 AM","12:15 PM"
"COMMON","208","CJ591","Special Topics","01","Wayne","Bergeron","","T","","R","","11:00 AM","12:15 PM"
"COMMON","208","SEM255","Intro to Emergency Management","01","Wayne","Bergeron","","T","","R","","09:30 AM","10:45 AM"
"COMMON","307","CJ306","Juvenile Delinquency","01","Christopher","Purser","","T","","R","","12:30 PM","01:45 PM"
"COMMON","307","CJ330","Family Violence","01","Yaschica","Williams","","T","","R","","11:00 AM","12:15 PM"
"COMMON","307","CJ336","Community-Based Corrections","01","Christopher","Purser","","T","","R","","09:30 AM","10:45 AM"
"COMMON","307","CJ491","Special Topics","05","Angela","Hamilton","","","","R","","04:30 PM","07:15 PM"
"COMMON","307","CJ491","Special Topics","04","Michael","Holt","","T","","R","","02:00 PM","03:15 PM"
"COMMON","307","FYE101","First-Year Experience Seminar","02","Andrea","Hunt","M","","","","","02:00 PM","02:50 PM"
"COMMON","307","FYE101","First-Year Experience Seminar","01","Joan","Williams","M","","","","","01:00 PM","01:50 PM"
"COMMON","307","IDS200","Career Exploration & Planning","01","Melissa","Medlin","M","","W","","","10:00 AM","10:50 AM"
"COMMON","307","MA110","Finite Mathematics","08","Lee","Raney","","","W","","","01:00 PM","01:50 PM"
"COMMON","307","MA110","Finite Mathematics","02","Ashley","Johnson","","","W","","","12:00 PM","12:50 PM"
"COMMON","307","MA125","Calculus I","02","Jillian","Stupiansky","","","","","F","01:00 PM","01:50 PM"
"COMMON","307","MA125","Calculus I","01","Jillian","Stupiansky","","","","","F","08:00 AM","08:50 AM"
"COMMON","307","SO306","Juvenile Delinquency","01","Christopher","Purser","","T","","R","","12:30 PM","01:45 PM"
"COMMON","307","WS330","Family Violence","01","Yaschica","Williams","","T","","R","","11:00 AM","12:15 PM"
